FS0000001	241	169	150	198	131	131	207	236	134	134	271	279	205	213	194	198	186	190	0	0
FS0000002	241	169	150	198	125	131	207	207	134	134	259	279	261	205	194	198	186	182	0	0
FS0000003	241	143	150	198	131	131	207	236	134	134	259	279	205	205	194	198	182	182	0	0
FS0000004	241	143	150	198	125	131	207	236	134	134	271	279	261	213	194	190	186	182	0	0
FS0000005	241	169	150	198	125	131	207	207	134	134	271	251	261	205	194	190	186	190	0	0
FS0000006	241	143	150	198	125	131	207	207	134	134	259	251	261	213	194	190	182	190	0	0
FS0000007	241	169	150	198	131	131	207	207	134	134	259	251	205	213	194	198	182	182	0	0
FS0000008	241	143	150	198	131	131	207	207	134	134	259	251	261	205	194	190	186	182	0	0
FS0000009	241	143	150	198	131	131	207	236	134	134	271	251	261	205	194	198	182	190	0	0
FS00000010	241	143	150	198	125	131	207	236	134	134	259	279	205	213	194	198	186	182	0	0
HS0000001	169	169	200	202	141	131	207	199	130	134	308	251	205	205	198	205	186	182	0	0
HS0000002	169	221	182	182	131	125	219	207	130	136	255	275	201	205	198	198	178	190	0	0
HS0000003	173	169	200	192	131	131	219	207	130	134	308	251	205	201	198	198	186	186	0	0
HS0000004	169	173	200	178	131	131	207	199	130	134	308	275	201	205	198	198	186	249	0	0
HS0000005	169	169	182	186	131	131	207	207	130	136	308	291	205	229	198	190	186	182	0	0
HS0000006	169	209	200	194	131	131	207	219	130	134	255	255	205	225	198	198	178	182	0	0
HS0000007	169	229	182	190	131	131	207	207	134	134	308	312	201	197	198	198	186	186	0	0
HS0000008	169	169	200	202	141	135	207	247	130	134	255	304	201	245	198	174	186	182	0	0
HS0000009	169	169	182	184	131	131	207	203	134	134	255	226	205	237	198	198	186	178	0	0
HS00000010	169	229	182	202	131	131	207	207	130	130	308	255	205	201	198	194	178	186	0	0
UR0000001	169	205	178	196	160	133	227	207	130	136	300	259	277	261	149	194	186	178	156	150
UR0000002	169	173	198	188	131	133	195	207	136	134	251	337	245	201	190	194	182	186	152	152
UR0000003	257	197	198	194	135	135	175	175	130	136	255	251	221	249	194	213	186	162	152	152
UR0000004	221	201	198	182	131	131	264	207	134	130	279	251	269	253	194	198	182	186	156	152
UR0000005	189	201	219	206	131	160	175	175	130	134	329	259	188	205	194	169	174	178	150	152
UR0000006	201	169	202	202	133	135	285	191	136	134	296	251	302	277	213	194	186	159	152	152
UR0000007	169	205	198	198	131	129	277	236	134	130	317	291	261	221	117	198	162	190	152	152
UR0000008	185	143	229	229	135	131	207	175	134	130	308	291	289	253	194	194	186	190	152	152
UR0000009	169	201	192	215	133	133	236	207	134	130	279	312	205	257	136	140	186	186	152	152
UR00000010	257	173	210	198	135	127	215	211	136	134	337	279	302	277	198	194	174	182	152	152
